Relaciones Existentes
[['SalesPerson', 'SalesOrderHeader', 'SalesPersonID']
 ['SalesPerson', 'SalesPersonQuotaHistory', 'BusinessEntityID']
 ['SalesPerson', 'SalesTerritoryHistory', 'BusinessEntityID']
 ['SalesPerson', 'Store', 'SalesPersonID']
 ['Illustration', 'ProductModelIllustration', 'IllustrationID']
 ['Location', 'ProductInventory', 'LocationID']
 ['Location', 'WorkOrderRouting', 'LocationID']
 ['Person', 'Employee', 'BusinessEntityID']
 ['Person', 'BusinessEntityContact', 'PersonID']
 ['Person', 'EmailAddress', 'BusinessEntityID']
 ['Person', 'Password', 'BusinessEntityID']
 ['Person', 'PersonPhone', 'BusinessEntityID']
 ['Person', 'Customer', 'PersonID']
 ['Person', 'PersonCreditCard', 'BusinessEntityID']
 ['SalesReason', 'SalesOrderHeaderSalesReason', 'SalesReasonID']
 ['SalesTerritory', 'StateProvince', 'TerritoryID']
 ['SalesTerritory', 'Customer', 'TerritoryID']
 ['SalesTerritory', 'SalesOrderHeader', 'TerritoryID']
 ['SalesTerritory', 'SalesPerson', 'TerritoryID']
 ['SalesTerritory', 'SalesTerritoryHistory', 'TerritoryID']
 ['PhoneNumberType', 'PersonPhone', 'PhoneNumberTypeID']
 ['Product', 'BillOfMaterials', 'ComponentID']
 ['Product', 'BillOfMaterials', 'ProductAssemblyID']
 ['Product', 'ProductCostHistory', 'ProductID']
 ['Product', 'ProductDocument', 'ProductID']
 ['Product', 'ProductInventory', 'ProductID']
 ['Product', 'ProductListPriceHistory', 'ProductID']
 ['Product', 'ProductProductPhoto', 'ProductID']
 ['Product', 'ProductReview', 'ProductID']
 ['Product', 'TransactionHistory', 'ProductID']
 ['Product', 'WorkOrder', 'ProductID']
 ['Product', 'ProductVendor', 'ProductID']
 ['Product', 'PurchaseOrderDetail', 'ProductID']
 ['Product', 'ShoppingCartItem', 'ProductID']
 ['Product', 'SpecialOfferProduct', 'ProductID']
 ['ScrapReason', 'WorkOrder', 'ScrapReasonID']
 ['Shift', 'EmployeeDepartmentHistory', 'ShiftID']
 ['ProductCategory', 'ProductSubcategory', 'ProductCategoryID']
 ['ShipMethod', 'PurchaseOrderHeader', 'ShipMethodID']
 ['ShipMethod', 'SalesOrderHeader', 'ShipMethodID']
 ['ProductDescription', 'ProductModelProductDescriptionCulture', 'ProductDescriptionID']
 ['SpecialOffer', 'SpecialOfferProduct', 'SpecialOfferID']
 ['Address', 'BusinessEntityAddress', 'AddressID']
 ['Address', 'SalesOrderHeader', 'BillToAddressID']
 ['Address', 'SalesOrderHeader', 'ShipToAddressID']
 ['SpecialOfferProduct', 'SalesOrderDetail', 'SpecialOfferID']
 ['SpecialOfferProduct', 'SalesOrderDetail', 'ProductID']
 ['ProductModel', 'Product', 'ProductModelID']
 ['ProductModel', 'ProductModelIllustration', 'ProductModelID']
 ['ProductModel', 'ProductModelProductDescriptionCulture', 'ProductModelID']
 ['AddressType', 'BusinessEntityAddress', 'AddressTypeID']
 ['StateProvince', 'Address', 'StateProvinceID']
 ['StateProvince', 'SalesTaxRate', 'StateProvinceID']
 ['Store', 'Customer', 'StoreID']
 ['ProductPhoto', 'ProductProductPhoto', 'ProductPhotoID']
 ['BusinessEntity', 'BusinessEntityAddress', 'BusinessEntityID']
 ['BusinessEntity', 'BusinessEntityContact', 'BusinessEntityID']
 ['BusinessEntity', 'Person', 'BusinessEntityID']
 ['BusinessEntity', 'Vendor', 'BusinessEntityID']
 ['BusinessEntity', 'Store', 'BusinessEntityID']
 ['ProductSubcategory', 'Product', 'ProductSubcategoryID']
 ['UnitMeasure', 'BillOfMaterials', 'UnitMeasureCode']
 ['UnitMeasure', 'Product', 'SizeUnitMeasureCode']
 ['UnitMeasure', 'Product', 'WeightUnitMeasureCode']
 ['UnitMeasure', 'ProductVendor', 'UnitMeasureCode']
 ['Vendor', 'ProductVendor', 'BusinessEntityID']
 ['Vendor', 'PurchaseOrderHeader', 'VendorID']
 ['ContactType', 'BusinessEntityContact', 'ContactTypeID']
 ['CountryRegion', 'StateProvince', 'CountryRegionCode']
 ['CountryRegion', 'CountryRegionCurrency', 'CountryRegionCode']
 ['CountryRegion', 'SalesTerritory', 'CountryRegionCode']
 ['WorkOrder', 'WorkOrderRouting', 'WorkOrderID']
 ['CreditCard', 'PersonCreditCard', 'CreditCardID']
 ['CreditCard', 'SalesOrderHeader', 'CreditCardID']
 ['Culture', 'ProductModelProductDescriptionCulture', 'CultureID']
 ['Currency', 'CountryRegionCurrency', 'CurrencyCode']
 ['Currency', 'CurrencyRate', 'FromCurrencyCode']
 ['Currency', 'CurrencyRate', 'ToCurrencyCode']
 ['PurchaseOrderHeader', 'PurchaseOrderDetail', 'PurchaseOrderID']
 ['CurrencyRate', 'SalesOrderHeader', 'CurrencyRateID']
 ['Customer', 'SalesOrderHeader', 'CustomerID']
 ['Department', 'EmployeeDepartmentHistory', 'DepartmentID']
 ['Document', 'ProductDocument', 'DocumentNode']
 ['Employee', 'EmployeeDepartmentHistory', 'BusinessEntityID']
 ['Employee', 'EmployeePayHistory', 'BusinessEntityID']
 ['Employee', 'JobCandidate', 'BusinessEntityID']
 ['Employee', 'Document', 'Owner']
 ['Employee', 'PurchaseOrderHeader', 'EmployeeID']
 ['Employee', 'SalesPerson', 'BusinessEntityID']
 ['SalesOrderHeader', 'SalesOrderDetail', 'SalesOrderID']
 ['SalesOrderHeader', 'SalesOrderHeaderSalesReason', 'SalesOrderID']]

Relaciones Posibles/Faltantes
[['EmployeePayHistory', 'SalesOrderHeaderSalesReason', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesPerson', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesPerson', 'BusinessEntityID']
 ['EmployeePayHistory', 'Illustration', 'ModifiedDate']
 ['EmployeePayHistory', 'JobCandidate', 'ModifiedDate']
 ['EmployeePayHistory', 'JobCandidate', 'BusinessEntityID']
 ['EmployeePayHistory', 'Location', 'ModifiedDate']
 ['EmployeePayHistory', 'Password', 'ModifiedDate']
 ['EmployeePayHistory', 'Password', 'BusinessEntityID']
 ['EmployeePayHistory', 'SalesPersonQuotaHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesPersonQuotaHistory', 'BusinessEntityID']
 ['EmployeePayHistory', 'Person', 'ModifiedDate']
 ['EmployeePayHistory', 'Person', 'BusinessEntityID']
 ['EmployeePayHistory', 'SalesReason', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesTaxRate', 'ModifiedDate']
 ['EmployeePayHistory', 'PersonCreditCard', 'ModifiedDate']
 ['EmployeePayHistory', 'PersonCreditCard', 'BusinessEntityID']
 ['EmployeePayHistory', 'vAdditionalContactInfo', 'ModifiedDate']
 ['EmployeePayHistory', 'vAdditionalContactInfo', 'BusinessEntityID']
 ['EmployeePayHistory', 'PersonPhone', 'ModifiedDate']
 ['EmployeePayHistory', 'PersonPhone', 'BusinessEntityID']
 ['EmployeePayHistory', 'vEmployee', 'BusinessEntityID']
 ['EmployeePayHistory', 'SalesTerritory', 'ModifiedDate']
 ['EmployeePayHistory', 'vEmployeeDepartment', 'BusinessEntityID']
 ['EmployeePayHistory', 'PhoneNumberType', 'ModifiedDate']
 ['EmployeePayHistory', 'vEmployeeDepartmentHistory', 'BusinessEntityID']
 ['EmployeePayHistory', 'vIndividualCustomer', 'BusinessEntityID']
 ['EmployeePayHistory', 'Product', 'ModifiedDate']
 ['EmployeePayHistory', 'vPersonDemographics', 'BusinessEntityID']
 ['EmployeePayHistory', 'vJobCandidate', 'ModifiedDate']
 ['EmployeePayHistory', 'vJobCandidate', 'BusinessEntityID']
 ['EmployeePayHistory', 'vProductModelCatalogDescription', 'ModifiedDate']
 ['EmployeePayHistory', 'vProductModelInstructions', 'ModifiedDate']
 ['EmployeePayHistory', 'vSalesPerson', 'BusinessEntityID']
 ['EmployeePayHistory', 'SalesTerritoryHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesTerritoryHistory', 'BusinessEntityID']
 ['EmployeePayHistory', 'vStoreWithDemographics', 'BusinessEntityID']
 ['EmployeePayHistory', 'vStoreWithContacts', 'BusinessEntityID']
 ['EmployeePayHistory', 'ScrapReason', 'ModifiedDate']
 ['EmployeePayHistory', 'vStoreWithAddresses', 'BusinessEntityID']
 ['EmployeePayHistory', 'vVendorWithContacts', 'BusinessEntityID']
 ['EmployeePayHistory', 'Shift', 'ModifiedDate']
 ['EmployeePayHistory', 'vVendorWithAddresses', 'BusinessEntityID']
 ['EmployeePayHistory', 'ProductCategory', 'ModifiedDate']
 ['EmployeePayHistory', 'ShipMethod', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductCostHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductDescription', 'ModifiedDate']
 ['EmployeePayHistory', 'ShoppingCartItem', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductDocument', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductInventory', 'ModifiedDate']
 ['EmployeePayHistory', 'SpecialOffer', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductListPriceHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'Address', 'ModifiedDate']
 ['EmployeePayHistory', 'SpecialOfferProduct', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductModel', 'ModifiedDate']
 ['EmployeePayHistory', 'AddressType', 'ModifiedDate']
 ['EmployeePayHistory', 'StateProvince', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductModelIllustration', 'ModifiedDate']
 ['EmployeePayHistory', 'AWBuildVersion', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductModelProductDescriptionCulture', 'ModifiedDate']
 ['EmployeePayHistory', 'BillOfMaterials', 'ModifiedDate']
 ['EmployeePayHistory', 'Store', 'ModifiedDate']
 ['EmployeePayHistory', 'Store', 'BusinessEntityID']
 ['EmployeePayHistory', 'ProductPhoto', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductProductPhoto', 'ModifiedDate']
 ['EmployeePayHistory', 'TransactionHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductReview', 'ModifiedDate']
 ['EmployeePayHistory', 'BusinessEntity', 'ModifiedDate']
 ['EmployeePayHistory', 'BusinessEntity', 'BusinessEntityID']
 ['EmployeePayHistory', 'TransactionHistoryArchive', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductSubcategory', 'ModifiedDate']
 ['EmployeePayHistory', 'BusinessEntityAddress', 'ModifiedDate']
 ['EmployeePayHistory', 'BusinessEntityAddress', 'BusinessEntityID']
 ['EmployeePayHistory', 'ProductVendor', 'ModifiedDate']
 ['EmployeePayHistory', 'ProductVendor', 'BusinessEntityID']
 ['EmployeePayHistory', 'BusinessEntityContact', 'ModifiedDate']
 ['EmployeePayHistory', 'BusinessEntityContact', 'BusinessEntityID']
 ['EmployeePayHistory', 'UnitMeasure', 'ModifiedDate']
 ['EmployeePayHistory', 'Vendor', 'ModifiedDate']
 ['EmployeePayHistory', 'Vendor', 'BusinessEntityID']
 ['EmployeePayHistory', 'ContactType', 'ModifiedDate']
 ['EmployeePayHistory', 'CountryRegionCurrency', 'ModifiedDate']
 ['EmployeePayHistory', 'CountryRegion', 'ModifiedDate']
 ['EmployeePayHistory', 'WorkOrder', 'ModifiedDate']
 ['EmployeePayHistory', 'PurchaseOrderDetail', 'ModifiedDate']
 ['EmployeePayHistory', 'CreditCard', 'ModifiedDate']
 ['EmployeePayHistory', 'Culture', 'ModifiedDate']
 ['EmployeePayHistory', 'WorkOrderRouting', 'ModifiedDate']
 ['EmployeePayHistory', 'Currency', 'ModifiedDate']
 ['EmployeePayHistory', 'PurchaseOrderHeader', 'ModifiedDate']
 ['EmployeePayHistory', 'CurrencyRate', 'ModifiedDate']
 ['EmployeePayHistory', 'Customer', 'ModifiedDate']
 ['EmployeePayHistory', 'Department', 'ModifiedDate']
 ['EmployeePayHistory', 'Document', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesOrderDetail', 'ModifiedDate']
 ['EmployeePayHistory', 'EmailAddress', 'ModifiedDate']
 ['EmployeePayHistory', 'EmailAddress', 'BusinessEntityID']
 ['EmployeePayHistory', 'Employee', 'ModifiedDate']
 ['EmployeePayHistory', 'SalesOrderHeader', 'ModifiedDate']
 ['EmployeePayHistory', 'EmployeeDepartmentHistory', 'ModifiedDate']
 ['EmployeePayHistory', 'EmployeeDepartmentHistory', 'BusinessEntityID']
 ['SalesOrderHeaderSalesReason', 'SalesPerson', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Illustration', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'JobCandidate', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Location', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Password', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesPersonQuotaHistory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Person', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesReason', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesTaxRate', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'PersonCreditCard', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'vAdditionalContactInfo', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'PersonPhone', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesTerritory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'PhoneNumberType', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Product', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'vJobCandidate', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'vProductModelCatalogDescription', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'vProductModelInstructions', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesTerritoryHistory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ScrapReason', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Shift', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductCategory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ShipMethod', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductCostHistory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductDescription', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ShoppingCartItem', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductDocument', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductInventory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SpecialOffer', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductListPriceHistory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Address', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SpecialOfferProduct', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductModel', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'AddressType', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'StateProvince', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductModelIllustration', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'AWBuildVersion', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductModelProductDescriptionCulture', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'BillOfMaterials', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Store', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductPhoto', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductProductPhoto', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'TransactionHistory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductReview', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'BusinessEntity', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'TransactionHistoryArchive', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductSubcategory', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'BusinessEntityAddress', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ProductVendor', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'BusinessEntityContact', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'UnitMeasure', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Vendor', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'ContactType', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'CountryRegionCurrency', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'CountryRegion', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'WorkOrder', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'PurchaseOrderDetail', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'CreditCard', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Culture', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'WorkOrderRouting', 'ModifiedDate']
