Relaciones Existentes
[['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendationProperty', 'PropertyID']
 ['Deadlocks', 'DeadlockProcesses', 'DeadlockID']
 ['CustomCounterDefinition', 'CustomCounterTags', 'Metric']
 ['Permission', 'PermissionServers', 'PermissionID']
 ['Permission', 'PermissionTags', 'PermissionId']
 ['PrescriptiveRecommendationCategory', 'AnalysisConfigCategories', 'CategoryID']
 ['PrescriptiveRecommendationCategory', 'PrescriptiveRecommendation', 'CategoryID']
 ['PrescriptiveRecommendation', 'AnalysisConfigBlockedRecommendation', 'RecommendationID']
 ['PrescriptiveRecommendation', 'PrescriptiveAnalysisRecommendation', 'RecommendationID']
 ['PrescriptiveRecommendation', 'PrescriptiveRecommendationProperty', 'RecommendationID']
 ['PrescriptiveAnalyzerCategory', 'PrescriptiveAnalyzer', 'AnalyzerCategoryID']
 ['PrescriptiveAnalyzer', 'PrescriptiveAnalysisDetails', 'AnalyzerID']
 ['PrescriptiveAnalysisType', 'PrescriptiveAnalysis', 'AnalysisTypeID']
 ['AzureApplication', 'AzureApplicationProfile', 'AzureApplicationId']
 ['Tags', 'CustomCounterTags', 'TagId']
 ['Tags', 'PermissionTags', 'TagId']
 ['Tags', 'ServerTags', 'TagId']
 ['Tags', 'WidgetTagMapping', 'TagId']
 ['PrescriptiveAnalysis', 'PrescriptiveAnalysisDetails', 'AnalysisID']
 ['AzureSubscription', 'AzureApplicationProfile', 'AzureSubscriptionId']
 ['ManagementServices', 'CollectionServices', 'ManagementServiceID']
 ['PrescriptiveAnalysisDetails', 'PrescriptiveAnalysisRecommendation', 'PrescriptiveAnalysisDetailsID']
 ['AzureApplicationProfile', 'AzureProfile', 'AzureApplicationProfileId']
 ['AzureApplicationProfile', 'AzureResource', 'AzureApplicationProfileId']
 ['PrescriptiveOptimiztionExecutionStatus', 'PrescriptiveAnalysisRecommendation', 'OptimizationStatusID']
 ['CloudProviders', 'MonitoredSQLServers', 'CloudProviderId']
 ['PrescriptiveAnalysisRecommendation', 'PrescriptiveAnalysisRecommendationProperty', 'AnalysisRecommendationID']
 ['MonitoredSQLServers', 'ActiveWaitStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'Alerts', 'ServerName']
 ['MonitoredSQLServers', 'AlwaysOnReplicas', 'SQLServerID']
 ['MonitoredSQLServers', 'AzureProfile', 'SQLServerID']
 ['MonitoredSQLServers', 'BaselineStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'BaselineTemplates', 'SQLServerID']
 ['MonitoredSQLServers', 'BlockingSessionStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'Blocks', 'SQLServerID']
 ['MonitoredSQLServers', 'CustomCounterMap', 'SQLServerID']
