Relaciones Existentes
[['authors', 'titleauthor', 'au_id']
 ['publishers', 'employee', 'pub_id']
 ['publishers', 'pub_info', 'pub_id']
 ['publishers', 'titles', 'pub_id']
 ['titles', 'roysched', 'title_id']
 ['titles', 'sales', 'title_id']
 ['titles', 'titleauthor', 'title_id']
 ['stores', 'discounts', 'stor_id']
 ['stores', 'sales', 'stor_id']
 ['jobs', 'employee', 'job_id']]

Relaciones Posibles/Faltantes
[['authors', 'publishers', 'city']
 ['authors', 'publishers', 'state']
 ['authors', 'stores', 'city']
 ['authors', 'stores', 'zip']
 ['authors', 'stores', 'state']
 ['authors', 'titleview', 'au_lname']
 ['publishers', 'stores', 'city']
 ['publishers', 'stores', 'state']
 ['publishers', 'titleview', 'pub_id']
 ['titles', 'roysched', 'royalty']
 ['titles', 'pub_info', 'pub_id']
 ['titles', 'employee', 'pub_id']
 ['titles', 'titleview', 'price']
 ['titles', 'titleview', 'title']
 ['titles', 'titleview', 'ytd_sales']
 ['titles', 'titleview', 'pub_id']
 ['titleauthor', 'sales', 'title_id']
 ['titleauthor', 'roysched', 'title_id']
 ['titleauthor', 'titleview', 'au_ord']
 ['sales', 'roysched', 'title_id']
 ['sales', 'discounts', 'stor_id']
 ['pub_info', 'employee', 'pub_id']
 ['pub_info', 'titleview', 'pub_id']
 ['employee', 'titleview', 'pub_id']]
